[32mresult: -0.0192451, ground_truth: -0.0193462
result: -0.0424995, ground_truth: -0.0428085
result: -0.00401306, ground_truth: -0.00401402
result: -0.0156441, ground_truth: -0.0154362
result: -0.0303574, ground_truth: -0.0300484
result: 0.0619469, ground_truth: 0.0622568
result: 0.0397186, ground_truth: 0.0396175
result: -0.0246964, ground_truth: -0.0249033
result: -0.010807, ground_truth: -0.0109081
result: 0.0478477, ground_truth: 0.0478506
result: 0.0561829, ground_truth: 0.0560827
result: -0.0153351, ground_truth: -0.0153332
result: 0.0212975, ground_truth: 0.0213013
result: -0.00278091, ground_truth: -0.00257301
result: 0.0492897, ground_truth: 0.0491877
result: -0.0517616, ground_truth: -0.0521736
result: -0.00339508, ground_truth: -0.00401402
result: -0.0680199, ground_truth: -0.0679178
result: 0.0388947, ground_truth: 0.0388975
result: 0.0376625, ground_truth: 0.0377655
result: -0.0319023, ground_truth: -0.0322094
result: 0.0331345, ground_truth: 0.0330315
result: 0.00401306, ground_truth: 0.00401306
result: 0.0344696, ground_truth: 0.0345755
result: 0.0579338, ground_truth: 0.0580378
result: -0.071003, ground_truth: -0.0710049
result: -0.0961113, ground_truth: -0.0961132
result: -0.0415726, ground_truth: -0.0415735
result: -0.0165672, ground_truth: -0.0168772
result: -0.0645218, ground_truth: -0.0644188
result: -0.0210953, ground_truth: -0.0215073
result: 0.0383797, ground_truth: 0.0382805
result: 0.0908623, ground_truth: 0.0907612
result: -0.005867, ground_truth: -0.00566006
result: 0.0365295, ground_truth: 0.0363245
result: 0.0432167, ground_truth: 0.0432196
result: -0.0560837, ground_truth: -0.0562897
result: 0.0312805, ground_truth: 0.0314884
result: 0.0413666, ground_truth: 0.0409555
result: -0.0131721, ground_truth: -0.0128632
result: 0.0199623, ground_truth: 0.0198603
result: -0.0220222, ground_truth: -0.0222282
result: 0.0275764, ground_truth: 0.0275784
result: 0.0225334, ground_truth: 0.0227413
result: -0.0719299, ground_truth: -0.0717249
result: 0.0846863, ground_truth: 0.0849991
result: -0.200562, ground_truth: -0.200665
result: -0.00977707, ground_truth: -0.00967312
result: 0.0325165, ground_truth: 0.0324144
result: -0.0334435, ground_truth: -0.0339594
result: 0.00462723, ground_truth: 0.00504208
result: 0.0374565, ground_truth: 0.0377655
result: 0.0158463, ground_truth: 0.0158472
result: -0.00380707, ground_truth: -0.00391102
result: -0.0201683, ground_truth: -0.0202723
result: -0.0519676, ground_truth: -0.0520706
result: 0.0383797, ground_truth: 0.0379715
result: -0.0167732, ground_truth: -0.0162592
result: 0.0175934, ground_truth: 0.0179052
result: 0.0489807, ground_truth: 0.0489826
result: -0.0506287, ground_truth: -0.0508356
