[32mresult: -0.05933, ground_truth: -0.0193461
result: -0.255573, ground_truth: -0.0250059
result: -0.267334, ground_truth: 0.0147154
result: -0.114624, ground_truth: -0.0143038
result: 0.08004, ground_truth: 0.0579354
result: -0.314026, ground_truth: 0.048571
result: 0.0175514, ground_truth: 0.00555685
result: 0.284184, ground_truth: 0.00164647
result: 0.0949593, ground_truth: -0.0329295
result: 0.170437, ground_truth: 0.0729595
result: 0.120762, ground_truth: -0.000926152
result: -0.226612, ground_truth: -0.010805
result: 0.112339, ground_truth: 0.0215071
result: 0.0767059, ground_truth: 0.0347818
result: 0.35334, ground_truth: -0.0376631
result: 0.0168495, ground_truth: -0.0706956
result: -0.270844, ground_truth: -0.00257263
result: -0.109707, ground_truth: -0.0308714
result: -0.231701, ground_truth: -0.0166706
result: 0.102859, ground_truth: 0.0024697
result: 0.108124, ground_truth: 0.034576
result: 0.0753021, ground_truth: 0.00113194
result: 0.18132, ground_truth: -0.00710043
result: 0.155342, ground_truth: -0.0260349
result: -0.0259819, ground_truth: -0.0186258
result: 0.136913, ground_truth: -0.0121428
result: -0.227665, ground_truth: 0.091791
result: 0.0814438, ground_truth: -0.0125544
result: 0.0556412, ground_truth: 0.0186258
result: 0.137615, ground_truth: 0.0315918
result: -0.01931, ground_truth: 0.0107021
result: 0.0187798, ground_truth: 0.00617427
result: -0.0995293, ground_truth: 0.0369428
result: -0.10532, ground_truth: -0.0286075
result: -0.279446, ground_truth: -0.0629777
result: 0.32666, ground_truth: -0.0677113
result: -0.0596809, ground_truth: -0.0156415
result: -0.353344, ground_truth: 0.0189345
result: 0.247849, ground_truth: 0.0480565
result: -0.312271, ground_truth: -0.0297395
result: -0.0928574, ground_truth: 0.00349875
result: -0.0586281, ground_truth: -0.269096
result: 0.0914497, ground_truth: 0.00823237
result: 0.0179024, ground_truth: -0.0640067
result: 0.098999, ground_truth: -0.0323121
result: 0.00508881, ground_truth: 0.0664765
result: -0.347553, ground_truth: -0.00874691
result: -0.255573, ground_truth: 0.0304598
result: 0.0619621, ground_truth: -0.0439403
result: 0.270138, ground_truth: -0.0830441
result: -0.0240479, ground_truth: 0.0483652
result: -0.104969, ground_truth: -0.00102906
result: 0.0749512, ground_truth: 0.0523785
result: -0.120239, ground_truth: -0.00236681
result: -0.184307, ground_truth: -0.0584499
result: 0.332626, ground_truth: -0.0544366
result: 0.172016, ground_truth: 0.0248
result: 0.235737, ground_truth: 0.00411618
result: -0.279446, ground_truth: 0.0665794
result: 0.00649261, ground_truth: -0.0153328
result: -0.317711, ground_truth: -0.0215071
result: -0.333862, ground_truth: -0.0488798
result: 0.316479, ground_truth: 0.0229478
result: -0.0365105, ground_truth: 0.0313859
result: -0.339653, ground_truth: 0.0260349
result: -0.27541, ground_truth: -0.00493944
result: 0.269436, ground_truth: -0.0382806
result: -0.0551186, ground_truth: 0.301099
result: 0.111462, ground_truth: -0.0100847
result: -0.000354767, ground_truth: -0.0373544
result: -0.035984, ground_truth: 0.015127
result: 0.15657, ground_truth: -0.0062772
result: -0.200108, ground_truth: 0.0403387
